Country,2000,2005,2010
CHINA (MAINLAND),3405179.867,5790016.984,8256969.232
UNITED STATES OF AMERICA,5701829.301,5795161.785,5408869.004
INDIA,1186663.202,1411127.606,1950950.343
RUSSIAN FEDERATION,1558111.967,1615687.534,1742540.065
JAPAN,1219453.516,1237623.501,1168918.589
GERMANY,829977.779,797279.14,750697.239
ISLAMIC REPUBLIC OF IRAN,372702.879,469328.329,571604.626
REPUBLIC OF KOREA,447561.017,462922.08,566716.515
SAUDI ARABIA,296935.325,397642.146,533093.792
CANADA,534483.585,563071.517,496104.763
UNITED KINGDOM,541799.25,542492.313,492192.074
SOUTH AFRICA,368610.507,391818.95,454950.022
MEXICO,382508.437,435437.915,445063.79
INDONESIA,263418.945,341991.754,436981.722
BRAZIL,327983.814,347308.904,419754.156
ITALY (INCLUDING SAN MARINO),450564.29,473384.031,405361.181
AUSTRALIA,329479.95,350268.173,368170.467
FRANCE (INCLUDING MONACO),364063.427,390550.168,357437.158
POLAND,299278.538,302615.508,317081.823
UKRAINE,320774.492,333869.349,304496.679
THAILAND,188355.455,256169.286,298141.768
TURKEY,216151.315,237390.579,298002.422
SPAIN,294434.431,353462.13,270881.29
TAIWAN,217676.787,259388.912,260522.015
KAZAKHSTAN,127769.281,176947.418,247214.472
MALAYSIA,126603.175,177372.79,224589.082
EGYPT,141326.18,167207.866,204677.272
VENEZUELA,152422.522,165095.674,197511.954
NETHERLANDS,165356.031,172022.637,181927.204
ARGENTINA,141076.824,160951.964,179000.938
UNITED ARAB EMIRATES,112562.232,116148.558,167596.568
PAKISTAN,106449.343,136636.087,162792.798
VIET NAM,53644.543,98143.588,153148.588
ALGERIA,87930.993,107127.738,119276.509
IRAQ,72445.252,113522.986,111447.464
CZECH REPUBLIC,123684.243,120108.918,111168.772
BELGIUM,114894.444,108297.511,109093.25
UZBEKISTAN,121058.671,112877.594,105488.589
KUWAIT,53560.202,71546.837,90846.258
GREECE,91616.328,98675.303,86717.216
NIGERIA,79181.531,104696.517,85221.08
PHILIPPINES,73306.997,74832.469,81700.76
ROMANIA,89984.513,95675.697,79335.545
COLOMBIA,57923.932,60945.54,78583.81
QATAR,34730.157,51880.716,75279.843
NORTH KOREA,76698.972,83013.546,72492.923
CHILE,58815.013,61818.286,72258.235
ISRAEL,60263.478,57036.518,68891.929
AUSTRIA,62188.653,74278.752,67975.179
LIBYAN ARAB JAMAHIRIYAH,47113.616,52108.07,66057.338
BELARUS,53468.527,59064.369,62221.656
FINLAND,52427.099,54645.634,61843.955
SYRIAN ARAB REPUBLIC,51048.307,50633.936,61576.264
PERU,30296.754,37135.709,57857.926
TURKMENISTAN,35364.548,45507.47,57267.539
NORWAY,38730.854,42438.191,56794.496
OMAN,21895.657,29893.384,56292.117
BANGLADESH,27869.2,37553.747,56152.771
MOROCCO,33905.082,45771.494,55958.42
SWEDEN,49350.486,51561.687,52573.779
TRINIDAD AND TOBAGO,23894.172,29512.016,50916.295
HUNGARY,55811.74,58019.274,50747.613
PORTUGAL,62966.057,65309.27,49588.841
DENMARK,51330.666,47095.281,46570.9
BULGARIA,43530.957,47909.355,44128.678
IRELAND,41235.415,43512.622,40175.652
SWITZERLAND,39049.883,41374.761,38752.856
CUBA,26083.371,26006.364,38360.487
HONG KONG,40465.345,40546.019,36288.632
SLOVAKIA,35885.262,39357.911,36240.961
ECUADOR,20942.237,29908.052,34249.78
NEW ZEALAND,32896.657,33919.75,31748.886
AZERBAIJAN,29508.349,34337.788,30678.122
ANGOLA,9541.534,19156.408,29743.037
TUNISIA,19922.811,22662.06,26743.431
YEMEN,14638.664,20043.822,25716.671
BAHRAIN,18643.028,19207.746,23252.447
DOMINICAN REPUBLIC,19790.799,18639.361,21363.942
JORDAN,15507.743,21059.581,21180.592
BOSNIA & HERZEGOVINA,13787.92,16204.473,21147.589
